recipe_name,prep_time,cook_time,total_time,servings,yield,rating,url,img_src,total_fat (g),sat_fat (g),cholesterol (mg),sodium (mg),total_carbohydrate (g),dietary_fiber (g),total_sugars (g),protein (g),vitamin_c (mg),calcium (mg),iron (mg),potassium (mg)
Filipino Avocado Milkshake,5 mins,,5 mins,2,2 servings,4.7,https://www.allrecipes.com/recipe/139425/filipino-avocado-milkshake/,https://www.allrecipes.com/thmb/d-YvB22kgzjN3TCMd9Cz4IUknnY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3515697-filipino-avocado-milkshake-Josephine-Yuen-4x3-1-4e87b9b506de42bc8e306ebd8e45cdc7.jpg,19.0,5.0,18.0,84.0,38,7.0,29.0,8.0,12.0,218.0,1.0,757
Black Bean Avocado Salsa,15 mins,,2 hrs 15 mins,10,10 servings,4.9,https://www.allrecipes.com/recipe/229020/black-bean-avocado-salsa/,https://www.allrecipes.com/thmb/Y7XOlshxEjuG4iADMcXbpCey0QA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5889297-5575d9e6a70a402ca4e2b19ef34d0131.jpg,6.0,1.0,,493.0,19,7.0,3.0,5.0,21.0,28.0,1.0,471
"Spinach Salad with Chicken, Avocado, and Goat Cheese",20 mins,,20 mins,4,4 servings,4.9,https://www.allrecipes.com/recipe/240327/spinach-salad-with-chicken-avocado-and-goat-cheese/,https://www.allrecipes.com/thmb/RpwILMpdAqY9Gq1rwzEP_zvlxa0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1825810-288d9b4b2a4c4ada82c8713e3da46382.jpg,32.0,8.0,54.0,355.0,18,8.0,2.0,26.0,46.0,176.0,5.0,1229
Best Guacamole,5 mins,,1 hrs 5 mins,16,2 cups,4.3,https://www.allrecipes.com/recipe/14837/best-guacamole/,https://www.allrecipes.com/thmb/l83-HCD7Zl6HH1-qmlAK-8fVcXY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/363326-57496b11955e464bb258af225f9e549c.jpg,5.0,1.0,,75.0,3,2.0,0.0,1.0,5.0,5.0,0.0,129
Avocado Quick Bread,20 mins,1 hrs,1 hrs 20 mins,20,2 - 9x5 inch loaves,4.5,https://www.allrecipes.com/recipe/27341/avocado-quick-bread/,https://www.allrecipes.com/thmb/ywnPQOngKqQnWGDPw5_-nlwDFsU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8133008-e4fedc69822f402e8cca5e4b024eb3ba.jpg,11.0,4.0,41.0,255.0,38,2.0,22.0,4.0,2.0,38.0,1.0,177
Chicken Stuffed Baked Avocados,10 mins,8 mins,18 mins,8,8 avocado halves,4.6,https://www.allrecipes.com/recipe/245863/chicken-stuffed-baked-avocados/,https://www.allrecipes.com/thmb/oilbPUIaqcFMx_PuA2EqJRHEQjo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3183895-2730e37e8efb4f6fbb92f4a1fda6625a.jpg,25.0,7.0,61.0,233.0,9,7.0,1.0,20.0,11.0,87.0,1.0,623
Mexican Pizza I,17 mins,30 mins,50 mins,4,4 pizzas,4.5,https://www.allrecipes.com/recipe/17368/mexican-pizza-i/,https://www.allrecipes.com/thmb/R4yPfeiSCjcjQ0dvg6c2LW5afpU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/image-432-46cd995a1c7f4955b2ca27d54d9ae63d.jpg,48.0,23.0,150.0,1542.0,42,10.0,4.0,42.0,24.0,534.0,5.0,866
Carne Asada Tacos,30 mins,45 mins,1 hrs 15 mins,6,6 servings,4.5,https://www.allrecipes.com/recipe/37336/carne-asada-tacos/,https://www.allrecipes.com/thmb/iq974E6NN2Z-kZJ_vxd24SavaP4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5362069-carne-asada-tacos-naples34102-4x3-1-21fdcc364e044aea867c261f8c010ca1.jpg,23.0,4.0,69.0,873.0,40,13.0,5.0,30.0,32.0,128.0,5.0,1128
Smoked Salmon Sushi Roll,30 mins,,5 hrs,6,6 rolls,4.7,https://www.allrecipes.com/recipe/19511/smoked-salmon-sushi-roll/,https://www.allrecipes.com/thmb/pNjaJiXbdznXKSEoQQENvEh5XKY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/434348-1ba934cbda4b422c94648cb4ee42c7ed.jpg,7.0,1.0,9.0,405.0,45,4.0,0.0,11.0,5.0,16.0,3.0,323
Avocado Deviled Eggs,20 mins,,20 mins,12,12 servings,4.6,https://www.allrecipes.com/recipe/236809/avocado-deviled-eggs/,https://www.allrecipes.com/thmb/NvDIYH03LQ9uvIOaYZxDMR4FxuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4469523-536c2c63bcf2488e9c0c8f64b95cd6b0.jpg,9.0,2.0,113.0,162.0,2,1.0,1.0,5.0,3.0,18.0,1.0,133
Mexican Chicken and Rice Soup (Sopa de Pollo y Arroz),25 mins,45 mins,1 hrs 10 mins,8,8 servings,5.0,https://www.allrecipes.com/recipe/262306/mexican-chicken-and-rice-soup-sopa-de-pollo-y-arroz/,https://www.allrecipes.com/thmb/eF1fHellBrcbGWJ_Pv-YJbZigLI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5013253-9fe61539870347b6b02da102ec904a5e.jpg,15.0,4.0,65.0,957.0,26,4.0,3.0,22.0,12.0,49.0,2.0,450
Easy Arugula Salad,15 mins,,15 mins,4,4 servings,4.7,https://www.allrecipes.com/recipe/71600/easy-arugula-salad/,https://www.allrecipes.com/thmb/lyORmb84TuvkjFm2HlkRmMzRx80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1131650-719ecbc74110497d82444ff246112acf.jpg,23.0,4.0,4.0,381.0,10,6.0,1.0,6.0,17.0,101.0,2.0,560
California Roll Sushi,45 mins,15 mins,1 hrs 30 mins,8,8 rolls,4.3,https://www.allrecipes.com/recipe/189477/california-roll-sushi/,https://www.allrecipes.com/thmb/qKfJScTFaEY8F68wecGy42ELAaw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4564632-california-roll-sushi-Sahara-B-4x3-1-24bfe4e2c76c445abbd610eed5967cc0.jpg,14.0,2.0,5.0,135.0,24,4.0,3.0,4.0,7.0,43.0,2.0,327
Avocado Shrimp Ceviche-Estillo Sarita,1 hrs 30 mins,,1 hrs 30 mins,4,4 servings,4.6,https://www.allrecipes.com/recipe/90396/avocado-shrimp-ceviche-estillo-sarita/,https://www.allrecipes.com/thmb/koMqQPUsuPI_yWMO0cVXEfFZq4I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/407088-e780d9e097484983a34fc5e7c6f63577.jpg,11.0,2.0,346.0,691.0,24,6.0,6.0,41.0,38.0,113.0,7.0,943
Avocado Toast (Vegan),10 mins,,10 mins,4,4 toasts,4.7,https://www.allrecipes.com/recipe/246803/avocado-toast-vegan/,https://www.allrecipes.com/thmb/tuoOX5LzxEww-9HzfJYHzaCT6cI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3605756-4910cb02090848bebfbe1563270f38d9.jpg,10.0,2.0,,430.0,17,6.0,2.0,5.0,8.0,42.0,1.0,334
Quesadillas I,10 mins,10 mins,20 mins,5,5 servings,4.3,https://www.allrecipes.com/recipe/14847/quesadillas-i/,https://www.allrecipes.com/thmb/OcYCEKDWS5s7b5JpYNOUIClpke4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3553334-20d146297720415db8fd6b532a841bc6.jpg,25.0,8.0,35.0,457.0,32,9.0,2.0,15.0,10.0,288.0,2.0,524
Avocado Toast with Egg,5 mins,5 mins,10 mins,2,2 servings,4.9,https://www.allrecipes.com/recipe/265304/avocado-toast-with-egg/,https://www.allrecipes.com/thmb/7-Tno2yJIb9B01pj87eGbAlC1Vo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6274187-98cf86c35b0d4f0bb69dad283ac7a8db.jpg,23.0,5.0,191.0,361.0,21,9.0,3.0,12.0,12.0,69.0,4.0,628
"Kale, Quinoa, and Avocado Salad with Lemon Dijon Vinaigrette",25 mins,15 mins,40 mins,4,1 large salad,4.8,https://www.allrecipes.com/recipe/230050/kale-quinoa-and-avocado-salad-with-lemon-dijon-vinaigrette/,https://www.allrecipes.com/thmb/6pYqaVc3Rf7VaAKqC9RDGftAtLI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6499568-kale-quinoa-and-avocado-salad-with-lemon-dijon-vinaigrette-Grace-Magyar-1x1-1-99abc4158e054d27a3747da553158d13.jpg,20.0,3.0,2.0,552.0,35,6.0,1.0,9.0,157.0,188.0,8.0,856
Awesome Turkey Sandwich,10 mins,,10 mins,1,1 sandwich,4.2,https://www.allrecipes.com/recipe/34400/awesome-turkey-sandwich/,https://www.allrecipes.com/thmb/lR5Ci00nwGYS35KJ_kVMlc9IYOE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/120683-13e65a3f0d984411a784bb01379d3302.jpg,57.0,25.0,124.0,1988.0,41,9.0,3.0,38.0,22.0,94.0,4.0,928
Grilled Avocados,10 mins,5 mins,15 mins,8,8 servings,3.9,https://www.allrecipes.com/recipe/238173/grilled-avocados/,https://www.allrecipes.com/thmb/SpE_rrZ6fLhw23TehE6KolYEvp0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1228914-e30b1b42b9794c3185c3988657506454.jpg,22.0,3.0,,8.0,9,7.0,1.0,2.0,10.0,13.0,1.0,490
Taco Salad III,15 mins,15 mins,30 mins,8,8 servings,4.6,https://www.allrecipes.com/recipe/16848/taco-salad-iii/,https://www.allrecipes.com/thmb/5qN3cx9MsZSDhFxUfGp-t2HUxi8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/709466-9c9278bc54ef44faa387bb8821ff9b22.jpg,61.0,16.0,72.0,1682.0,76,12.0,18.0,27.0,17.0,376.0,4.0,764
Vegetarian Tortilla Soup,15 mins,40 mins,55 mins,12,12 servings,4.6,https://www.allrecipes.com/recipe/80743/vegetarian-tortilla-soup/,https://www.allrecipes.com/thmb/uL-7DOsF8ZWskEEsJUa0sO9KBtM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2113866-ceed23b99e344ad889d8c906a2f58995.jpg,16.0,4.0,12.0,1152.0,37,6.0,4.0,9.0,27.0,186.0,3.0,461
Easy Keto Beef Tacos,20 mins,18 mins,50 mins,4,4 servings,4.2,https://www.allrecipes.com/recipe/261032/easy-keto-beef-tacos/,https://www.allrecipes.com/thmb/cJvmDYzMq8LoRXz7pATY8Q9oS7M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4574623-074063dc11164d99af881cc571089aee.jpg,53.0,26.0,157.0,1197.0,10,4.0,2.0,41.0,8.0,619.0,3.0,634
Turkey Avocado Panini,17 mins,8 mins,25 mins,2,2 sandwiches,4.7,https://www.allrecipes.com/recipe/201117/turkey-avocado-panini/,https://www.allrecipes.com/thmb/YvFmM779nyM7dyF1ekaej-S1aBM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5428404-5820c635c8c74ffb994140fc3d000fea.jpg,51.0,13.0,62.0,1720.0,42,6.0,4.0,25.0,59.0,328.0,4.0,623
Corn and Avocado Salsa,30 mins,5 mins,35 mins,4,4 cups,4.6,https://www.allrecipes.com/recipe/74692/corn-and-avocado-salsa/,https://www.allrecipes.com/thmb/MROBZhKg3-OmdNEbzkK7RrEF39M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/377894-8d2808710fcf41e6858b603d3591903b.jpg,23.0,3.0,,65.0,29,10.0,6.0,5.0,62.0,46.0,2.0,856
Harvest Salad,15 mins,,15 mins,6,6 servings,4.8,https://www.allrecipes.com/recipe/23783/harvest-salad/,https://www.allrecipes.com/thmb/J93dsIN4D9hTKSnEB4kes_BJmL4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1656669-351ba9eaced6493b8341e9c7002096fc.jpg,27.0,5.0,8.0,207.0,22,5.0,13.0,7.0,25.0,136.0,2.0,670
Warm Shrimp Salad,10 mins,15 mins,25 mins,3,2 to 4 servings,4.5,https://www.allrecipes.com/recipe/14189/warm-shrimp-salad/,https://www.allrecipes.com/thmb/nIno-XqAzLgfsBIz9tNElE5S2Iw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1959881-fc2874f140564ea289cead200a37e391.jpg,26.0,7.0,250.0,566.0,29,12.0,9.0,37.0,90.0,218.0,7.0,1474
Avocado Soup with Chicken and Lime,10 mins,20 mins,30 mins,4,4 servings,4.5,https://www.allrecipes.com/recipe/20809/avocado-soup-with-chicken-and-lime/,https://www.allrecipes.com/thmb/BZ9yflTw9g2FI8vuHyGtx-rSQBk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/368123-ea4ab1fb79cf46c8b3745616803ab8d1.jpg,15.0,2.0,37.0,1048.0,25,7.0,4.0,17.0,24.0,59.0,1.0,590
Meyer Lemon Avocado Toast,10 mins,3 mins,13 mins,2,2 servings,4.8,https://www.allrecipes.com/recipe/257457/meyer-lemon-avocado-toast/,https://www.allrecipes.com/thmb/W7qxZ1EaZNXan2kpORUQXBg6x8g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4487253-e6669e70d4114beb857b6aeac7814444.jpg,1.0,0.0,,271.0,12,2.0,2.0,4.0,3.0,31.0,3.0,82
Mexican Baked Fish,15 mins,15 mins,30 mins,6,6 servings,4.5,https://www.allrecipes.com/recipe/12745/mexican-baked-fish/,https://www.allrecipes.com/thmb/ldGs8fNihUT5Qo_6Ey04a-jArXU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1014287-9b69e5001c4940b6800cb35485b47602.jpg,18.0,7.0,69.0,529.0,11,3.0,2.0,28.0,7.0,213.0,1.0,717
Easy Never Forgotten Guacamole,10 mins,,40 mins,16,2 cups,4.5,https://www.allrecipes.com/recipe/22972/easy-never-forgotten-guacamole/,https://www.allrecipes.com/thmb/Szzxj_-mORDmSh32qxfKARlwaPI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1384517-1190445214b74eb3a4e9e86b2e7b2f2e.jpg,9.0,3.0,12.0,67.0,4,3.0,0.0,2.0,4.0,15.0,0.0,204
Avocado Dressing,10 mins,,10 mins,12,1 1/2 cups,4.6,https://www.allrecipes.com/recipe/241148/avocado-dressing/,https://www.allrecipes.com/thmb/7VJZ0XH7YERsj96u4A69F7RHYPw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2140127-99b8621483404f3fb8ede68144ccf6f0.jpg,7.0,1.0,1.0,158.0,3,1.0,1.0,1.0,4.0,22.0,2.0,113
Avocado Egg Salad,20 mins,,20 mins,6,3 cups,4.6,https://www.allrecipes.com/recipe/170446/avocado-egg-salad/,https://www.allrecipes.com/thmb/62ZI9xBfxdjifXHMO3qpgx449LE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5752004-32562a92b5aa4b9884fb854d03db5f10.jpg,25.0,5.0,217.0,189.0,9,5.0,3.0,8.0,8.0,42.0,1.0,418
Absolutely Amazing Ahi,10 mins,15 mins,25 mins,6,6 servings,4.7,https://www.allrecipes.com/recipe/33247/absolutely-amazing-ahi/,https://www.allrecipes.com/thmb/671Xqgtg6wHujOjsHxlLTBsciro=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3933850-aa93bf2fface478691d37e4df3d4fa75.jpg,8.0,1.0,26.0,1227.0,6,3.0,1.0,16.0,6.0,38.0,1.0,513
Quick and Easy Guacamole,10 mins,,10 mins,4,4 servings,4.7,https://www.allrecipes.com/recipe/223271/quick-and-easy-guacamole/,https://www.allrecipes.com/thmb/uZjj3uEaHSFSVOJz27fV9S9f-_A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2233935-81ec07fcd6f543538f0fb8055510a32c.jpg,15.0,2.0,,238.0,10,7.0,1.0,2.0,14.0,27.0,1.0,532
Mexican Botana Platter,40 mins,40 mins,1 hrs 20 mins,12,12 servings,4.7,https://www.allrecipes.com/recipe/86322/mexican-botana-platter/,https://www.allrecipes.com/thmb/lyqST07dlkdfnnYmq1oI-8dTVqQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7223980-3fdf6560768d429885fa4c4b4a60676a.jpg,40.0,16.0,120.0,958.0,42,11.0,3.0,40.0,23.0,326.0,3.0,1008
Salsa Salad,30 mins,,30 mins,6,6 servings,4.6,https://www.allrecipes.com/recipe/218645/salsa-salad/,https://www.allrecipes.com/thmb/4fIdGwm91i-GiDqA-ksNk-XaepU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4048362-9632b714f93342f0afd34fad64632c3f.jpg,14.0,2.0,,214.0,18,10.0,7.0,4.0,90.0,43.0,1.0,952
Avocado Dessert,20 mins,20 mins,40 mins,4,4 servings,4.1,https://www.allrecipes.com/recipe/80784/avocado-dessert/,https://www.allrecipes.com/thmb/w4d8xF9BQ9Kc4JhkZeT-Mcf89pE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7673551-8e0b87ffc5754fb887b70dd8e953f4a2.jpg,8.0,2.0,2.0,16.0,18,3.0,14.0,2.0,5.0,42.0,0.0,291
Black Bean Breakfast Bowl,10 mins,5 mins,15 mins,2,2 servings,4.6,https://www.allrecipes.com/recipe/220123/black-bean-breakfast-bowl/,https://www.allrecipes.com/thmb/V6hqhkBd6gxNuygQfOhJ0dJxMCM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5437904-8d54d81d509d489c959e371bd7b6fc99.jpg,39.0,7.0,372.0,1158.0,47,22.0,2.0,28.0,16.0,148.0,7.0,1372
Avocado Cream Sauce,15 mins,10 mins,25 mins,4,4 servings,4.8,https://www.allrecipes.com/recipe/272445/avocado-cream-sauce/,https://www.allrecipes.com/thmb/d0Dn8ZqWTi5PNd6qLVhOTJxKoro=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6537517-0f22bef963ca435a8db50cc2bce9cd51.jpg,26.0,9.0,36.0,93.0,10,7.0,1.0,3.0,12.0,30.0,1.0,522
Mean Green Guacamole Salsa,10 mins,10 mins,20 mins,12,12 servings,4.7,https://www.allrecipes.com/recipe/220166/mean-green-guacamole-salsa/,https://www.allrecipes.com/thmb/lHi-g5ynsvUfyuZrddc2DVJwq_k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5865276-mean-green-guacamole-salsa-Rosie-4x3-1-31b2d4dadb0e4976919d7da876c88a08.jpg,8.0,1.0,,6.0,7,4.0,2.0,2.0,11.0,12.0,1.0,357
Apricot Pork Tenderloin,10 mins,45 mins,55 mins,6,6 servings,4.5,https://www.allrecipes.com/recipe/201010/apricot-pork-tenderloin/,https://www.allrecipes.com/thmb/6OSQCblB2UACY74mAujeK76ZhPg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/939159-d82dac09848d40af97f7fd580edb980c.jpg,11.0,6.0,86.0,200.0,63,0.0,43.0,24.0,8.0,31.0,2.0,465
Apricot Pie,25 mins,35 mins,2 hrs,8,1 9-inch pie,4.6,https://www.allrecipes.com/recipe/214747/apricot-pie/,https://www.allrecipes.com/thmb/t4qDFbRKAI0V8ixOCWOtr7L9ARg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2352346-3a6a16871e2940e1916422256dbbb31d.jpg,28.0,7.0,,293.0,70,3.0,35.0,6.0,11.0,21.0,2.0,315
Apricot Brown Sugar Ham,,2 hrs,2 hrs,15,,4.7,https://www.allrecipes.com/recipe/102159/apricot-brown-sugar-ham/,https://www.allrecipes.com/thmb/SLu9E2obOFpbL_sDncDXBCIiQsE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Ham_5343-3c7cb8cd6f8f4179905af16dda147058.jpg,56.0,20.0,170.0,3895.0,14,,13.0,56.0,106.0,31.0,2.0,958
Fresh Apricot Cobbler,20 mins,40 mins,1 hrs,12,12 servings,4.6,https://www.allrecipes.com/recipe/233090/fresh-apricot-cobbler/,https://www.allrecipes.com/thmb/yvHWgX8HcKlszEl6GwTnb0WvOoE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3889403-f9330da978924e98bf898e3a24285dfc.jpg,9.0,5.0,23.0,385.0,46,2.0,27.0,4.0,8.0,120.0,1.0,272
Apricot-Glazed Pork Chops,10 mins,10 mins,20 mins,4,4 servings,4.4,https://www.allrecipes.com/recipe/141975/apricot-glazed-pork-chops/,https://www.allrecipes.com/thmb/QxTJloRHwzYiERX7u1Me_ogrH3E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1124680-apricot-glazed-pork-chops-mommyluvs2cook-4x3-1-92914c1df7f445aab31cf9a85869e104.jpg,19.0,5.0,63.0,54.0,19,0.0,13.0,24.0,3.0,25.0,1.0,426
Dried Apricot Jam,,20 mins,1 hrs 50 mins,144,10 cups,4.6,https://www.allrecipes.com/recipe/223062/dried-apricot-jam/,https://www.allrecipes.com/thmb/LZgikrqsyNJhwOGXM0x_Iwfn2fM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1044664-7eeb6523d6d84799a977424734f52b73.jpg,,,,1.0,12,0.0,12.0,0.0,0.0,3.0,0.0,48
Slow Cooker Chicken Tagine,15 mins,5 hrs,5 hrs 15 mins,8,8 servings,4.9,https://www.allrecipes.com/recipe/257106/slow-cooker-chicken-tagine/,https://www.allrecipes.com/thmb/0do5jsAsoXEA6uaTCWqLcS4U5Ik=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6259376-9f9152a84c184f2f8a23357113d435b9.jpg,10.0,3.0,73.0,590.0,57,5.0,14.0,27.0,8.0,64.0,3.0,622
Apricot Chutney,15 mins,1 hrs 5 mins,1 hrs 20 mins,50,3 1/4 cups,4.5,https://www.allrecipes.com/recipe/214692/apricot-chutney/,https://www.allrecipes.com/thmb/Uofmd6JpJVdI89FLfIML9kpAMO4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1114259-8b13ab01f6c04fe1b205dbae8a4f5a85.jpg,0.0,,,31.0,13,0.0,9.0,0.0,2.0,6.0,0.0,23
Apricot Cream Cheese Thumbprints,15 mins,15 mins,2 hrs 30 mins,84,7 dozen,4.4,https://www.allrecipes.com/recipe/10201/apricot-cream-cheese-thumbprints/,https://www.allrecipes.com/thmb/ZgQ9XtT6A5lScuNQnz9Ueio6U04=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4533042-d25916f6c78847db97837081865961de.jpg,4.0,3.0,16.0,43.0,12,0.0,6.0,1.0,1.0,10.0,0.0,16
Moroccan Beef and Lentil Stew,15 mins,1 hrs 20 mins,1 hrs 35 mins,6,,5.0,https://www.allrecipes.com/recipe/278891/moroccan-beef-and-lentil-stew/,https://www.allrecipes.com/thmb/rYDhUb6ROOT--MmEzWC26HOIPmA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7756081-b698229719014b408d930d1c02c7acf4.jpg,17.0,5.0,53.0,571.0,37,8.0,12.0,29.0,13.0,78.0,5.0,988
Dried Apricot Pie,30 mins,1 hrs,1 hrs 30 mins,8,1 pie,3.5,https://www.allrecipes.com/recipe/12524/dried-apricot-pie/,https://www.allrecipes.com/thmb/R84NQDtwLwM_A25kI8PUp9srYA0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/19404-366840b99221462e9f343a85a54e0b56.jpg,15.0,4.0,,240.0,105,6.0,78.0,5.0,1.0,40.0,3.0,762
Instant Pot Chicken Tagine with Apricots and Chickpeas,15 mins,35 mins,1 hrs,6,,4.7,https://www.allrecipes.com/recipe/274397/instant-pot-chicken-tagine-with-apricots-and-chickpeas/,https://www.allrecipes.com/thmb/EHhxkNR1X12nTEl1lWJat5E8r0E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6748315-233f2c64d8eb4b15a86550caf7e2b580.jpg,11.0,3.0,48.0,517.0,22,4.0,7.0,17.0,10.0,67.0,4.0,439
Fruity Couscous Salad,15 mins,,15 mins,8,,4.4,https://www.allrecipes.com/recipe/86338/fruity-couscous-salad/,https://www.allrecipes.com/thmb/lOSVpXh3Fdu63XUtsnnj0uZYczY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/37495-77b891f5537448809fe814064ae585bf.jpg,5.0,0.0,,6.0,38,4.0,13.0,6.0,1.0,41.0,1.0,223
Moroccan Chicken Tagine,20 mins,1 hrs 50 mins,2 hrs 10 mins,6,,4.9,https://www.allrecipes.com/recipe/257104/moroccan-chicken-tagine/,https://www.allrecipes.com/thmb/XjTf__-4y3pd3s-IBs6Dhyw8jYI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6922320-c0d75aab1d98483ead916cc3316f4bee.jpg,20.0,4.0,44.0,1375.0,36,7.0,22.0,15.0,4.0,148.0,6.0,523
Simple Apricot-Glazed Meatloaf,10 mins,1 hrs,1 hrs 15 mins,6,1 9x5-inch meatloaf,4.7,https://www.allrecipes.com/recipe/281342/simple-apricot-glazed-meatloaf/,https://www.allrecipes.com/thmb/bqcwvKxOgdCDkwsh7WoNcTdx-G4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8547739-6d6f3ba9798c4045ad2d0cda25dec5f7.jpg,20.0,7.0,101.0,1782.0,55,1.0,34.0,23.0,14.0,78.0,4.0,529
Apricot Chicken Curry,30 mins,40 mins,1 hrs 10 mins,4,4 servings,4.8,https://www.allrecipes.com/recipe/215207/apricot-chicken-curry/,https://www.allrecipes.com/thmb/Xdc1VE5-_4moy7X-Sc1_IzAWqVU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8181230-b6c66196ca7243b6ae45b770a2e0e065.jpg,23.0,5.0,117.0,168.0,75,9.0,59.0,40.0,70.0,114.0,6.0,1393
Apricot Leather,30 mins,6 hrs,6 hrs 30 mins,14,,4.4,https://www.allrecipes.com/recipe/62392/apricot-leather/,https://www.allrecipes.com/thmb/LECtu9n39EV5m30ZkQPBFLXBMSc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1364272-5c1711baad404c08a54edbd1c1ab57bb.jpg,0.0,,,0.0,10,1.0,9.0,0.0,3.0,3.0,0.0,62
Fresh Apricot Crisp,15 mins,35 mins,50 mins,6,,4.1,https://www.allrecipes.com/recipe/215112/fresh-apricot-crisp/,https://www.allrecipes.com/thmb/Jv2Yt3_-b-Tv2wpPrCGtl2SNghE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4527327-5a253aac95e34e12b421ba0c58388f7f.jpg,17.0,10.0,41.0,116.0,52,3.0,36.0,4.0,10.0,40.0,1.0,344
Apricot Lentil Soup,15 mins,50 mins,1 hrs 5 mins,6,6 servings,4.6,https://www.allrecipes.com/recipe/12979/apricot-lentil-soup/,https://www.allrecipes.com/thmb/HFjyJA-IdvJeQVHRIO7EJQpdze8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9442548-3c3b0dac0540498fb9341c5235cfbdae.jpg,7.0,1.0,,7.0,37,16.0,7.0,13.0,10.0,44.0,4.0,657
Oat-Free and Gluten-Free Granola Bars (Clean Eating),10 mins,3 mins,2 hrs 13 mins,20,20 bars,4.8,https://www.allrecipes.com/recipe/254370/oat-free-and-gluten-free-granola-bars-clean-eating/,https://www.allrecipes.com/thmb/z1CDWvmWkpm2MZOOizYfdKgJHp8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3708140-ff4ac19f57924eaf92241e683615ad79.jpg,32.0,20.0,,64.0,18,5.0,12.0,5.0,0.0,49.0,2.0,259
